,count,kewword,keep
339,2,English wit and humor -- Periodicals,
342,2,Ghost stories,
343,2,Popular literature -- Great Britain -- Periodicals,
349,2,English wit and humor -- Periodicals,
351,2,Ship captains -- Fiction,
352,2,English poetry,
353,2,Tragicomedy,
354,2,English wit and humor -- Periodicals,
355,2,American poetry,
356,2,Fiction,
357,2,English wit and humor -- Periodicals,
360,2,"Great Britain -- History -- James I, 1603-1625 -- Fiction",
363,2,Popular literature -- Great Britain -- Periodicals,
365,2,Popular literature -- Great Britain -- Periodicals,
368,2,Popular literature -- Great Britain -- Periodicals,
370,2,United States Naval Academy -- Juvenile fiction,
372,2,Poetry -- Collections,
373,2,Mystery and detective stories,
374,2,Popular literature -- Great Britain -- Periodicals,
375,2,American drama,
376,2,"Mythology, Norse",
377,2,Poetry,
378,2,English wit and humor -- Periodicals,
379,2,English poetry,
380,2,English wit and humor -- Periodicals,
381,2,English wit and humor -- Periodicals,
382,2,Questions and answers -- Periodicals,
383,2,English wit and humor -- Periodicals,
384,2,Science -- Periodicals,
385,2,Historical fiction,
386,2,English wit and humor -- Periodicals,
387,2,Questions and answers -- Periodicals,
388,2,Questions and answers -- Periodicals,
389,2,English wit and humor -- Periodicals,
390,2,English wit and humor -- Periodicals,
391,2,Fiction,
392,2,Questions and answers -- Periodicals,
393,2,Questions and answers -- Periodicals,
394,2,English wit and humor -- Periodicals,
395,2,Popular literature -- Great Britain -- Periodicals,
396,2,Popular literature -- Great Britain -- Periodicals,
397,2,English wit and humor -- Periodicals,
398,2,English wit and humor -- Periodicals,
399,2,English wit and humor -- Periodicals,
400,2,English wit and humor -- Periodicals,
402,2,Christmas stories,
403,2,English wit and humor -- Periodicals,
404,2,English wit and humor -- Periodicals,
405,2,Children's plays,
406,2,English wit and humor -- Periodicals,
407,2,"United States -- History -- French and Indian War, 1754-1763 -- Fiction",
409,2,English wit and humor -- Periodicals,
410,2,Lynching,
411,2,Science -- Periodicals,
413,2,Poetry,
414,2,Fiction,
416,2,Society of Friends,
417,2,Fiction,
418,2,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
420,2,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
424,2,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
426,2,Popular literature -- Great Britain -- Periodicals,
428,2,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
430,2,United States -- History,
431,2,Fiction,
433,2,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
434,2,Science -- Periodicals,
435,2,Fiction,
436,2,United States. Army -- Fiction,
437,2,Poetry,
438,2,Fiction,
439,2,Fiction,
440,2,Western stories,
441,2,Fiction,
442,2,Bahai Faith -- Doctrines,
443,2,Science fiction,
444,2,Science fiction,
445,2,Great Britain -- History,
446,2,Fiction,
447,2,English periodicals,
448,2,Submarines (Ships) -- Juvenile fiction,
449,2,Submarines (Ships) -- Juvenile fiction,
450,2,Submarines (Ships) -- Juvenile fiction,
451,2,"Bible stories, English",
452,2,Toys -- Juvenile fiction,
453,2,Bahai Faith -- Doctrines,
456,2,Singers -- Biography,
457,2,English wit and humor -- Periodicals,
458,2,New England -- Social life and customs -- Fiction,
459,2,Poetry,
460,2,"World War, 1914-1918 -- Periodicals",
462,2,"Patrick, Saint, 373?-463?",
463,2,Fiction,
464,2,Biography,
465,2,Christmas music,
466,2,Christian life -- Juvenile fiction,
467,2,"History, Modern -- 19th century -- Juvenile literature -- Periodicals",
468,2,Science fiction,
469,2,Great Britain -- History,
470,2,Fiction,
472,2,Bahai Faith,
473,2,Bahai Faith,
474,2,Bahai Faith,
475,2,Bahai Faith,
476,2,English wit and humor -- Periodicals,
477,2,"Theology, Doctrinal -- History",
478,2,Tales -- Japan,
479,2,American periodicals,
480,2,English wit and humor -- Periodicals,
481,2,Questions and answers -- Periodicals,
483,2,"Henry V, King of England, 1387-1422",
484,2,Private secretaries -- Fiction,
485,2,New York (N.Y.) -- Fiction,
487,2,Periodicals,
489,2,Science fiction,
490,2,Science fiction,
491,2,Schools -- Juvenile fiction,
492,2,Sea stories,
494,2,Brothers and sisters -- Juvenile fiction,
495,2,Seafaring life -- Juvenile fiction,
496,2,Adventure stories,
497,2,Sea stories,
498,2,Fiction,
499,2,Shipwreck survival -- Juvenile fiction,
500,2,Detective and mystery stories,
501,2,Ship captains -- Fiction,
502,2,Fairy tales,
503,2,Questions and answers -- Periodicals,
505,2,Science fiction,
508,2,Science fiction,
509,2,Short stories,
510,2,Science fiction,
511,2,Science fiction,
512,2,Science fiction,
513,2,Questions and answers -- Periodicals,
514,2,English wit and humor -- Periodicals,
515,2,English wit and humor -- Periodicals,
516,2,English wit and humor -- Periodicals,
517,2,United States -- Social life and customs -- 19th century -- Fiction,
518,2,Short stories,
519,2,United States -- Social life and customs -- 19th century -- Fiction,
520,2,Short stories,
521,2,United States -- Social life and customs -- 19th century -- Fiction,
522,2,Short stories,
523,2,United States -- Social life and customs -- 19th century -- Fiction,
524,2,Short stories,
525,2,English wit and humor -- Periodicals,
526,2,Detective and mystery stories,
527,2,Pastoral fiction,
528,2,Short stories,
529,2,Science fiction,
530,2,Science fiction,
531,2,English wit and humor -- Periodicals,
532,2,English wit and humor -- Periodicals,
533,2,English wit and humor -- Periodicals,
534,2,New England -- Social life and customs -- Fiction,
536,2,Short stories,
538,2,Fiction,
539,2,United States -- Social life and customs -- Fiction,
541,2,Science fiction,
543,2,Short stories,
544,2,Short stories,
545,2,Short stories,
546,2,Questions and answers -- Periodicals,
547,2,Short stories,
548,2,Short stories,
549,2,Fiction,
550,2,Western stories,
551,2,Fairy tales,
553,2,Man-woman relationships -- Fiction,
554,2,United States -- Social life and customs -- 19th century -- Fiction,
555,2,United States -- Social life and customs -- 19th century -- Fiction,
556,2,Short stories,
557,2,"Love stories, American",
558,2,Poetry,
559,2,Short stories,
560,2,Science fiction,
561,2,Science fiction,
563,2,Short stories,
564,2,Short stories,
565,2,New York (N.Y.) -- History -- 1775-1865 -- Fiction,
566,2,Science fiction,
568,2,Science fiction,
569,2,Adventure stories,
570,2,Science -- Periodicals,
571,2,English wit and humor -- Periodicals,
572,2,English poetry,
574,2,Short stories,
575,2,"Science fiction, American",
576,2,Oceania -- Fiction,
577,2,Pacific Area -- Social life and customs -- Fiction,
579,2,Oceania -- Fiction,
581,2,Oceania -- Fiction,
582,2,Oceania -- Fiction,
583,2,Short stories,
584,2,Pirates -- Juvenile fiction,
585,2,American wit and humor,
588,2,Science fiction,
589,2,Science fiction,
590,2,Sea stories,
591,2,"World War, 1914-1918",
595,2,English poetry,
596,2,English poetry,
597,2,Short stories,
598,2,Science fiction,
601,2,World Wide Web,
602,2,Project Gutenberg,
604,2,Poetry,
605,2,English poetry,
606,2,Western stories,
608,2,Science fiction,
609,2,History,
610,2,Authorship,
611,2,United States. Army -- Juvenile fiction,
612,2,Christian saints -- Biography,
613,2,"Photography, Artistic -- Periodicals",
615,2,"Children's periodicals, American",
616,2,Animals -- Juvenile fiction,
617,2,Christmas stories,
618,2,"Art, Italian",
619,2,Science fiction,
620,2,Biography,
622,2,Historical fiction,
624,2,Poetry,
625,2,Religion and science -- Periodicals,
626,2,Religion and science -- Periodicals,
627,2,Religion and science -- Periodicals,
628,2,Education,
629,2,Esperanto -- Periodicals,
630,2,"Children's periodicals, American",
631,2,Poetry,
633,2,Poetry,
634,2,"Children's periodicals, American",
635,2,Children -- Conduct of life -- Juvenile fiction,
637,2,Science fiction,
639,2,Science fiction,
640,2,Science fiction,
641,2,Science fiction,
642,2,Science fiction,
643,2,"World War, 1914-1918",
644,2,Science fiction,
645,2,Science fiction,
